Unnamed: 0,Movie,Genre,Rating,Emotions
311,Premam,"Comedy, Drama, Romance            ",6.5,"Inspirational, Love, Mystery"
312,Johnny,"Action, Drama            ",5.4,"Dark, Suspenseful, Inspirational, Chill"
313,King,"Action, Comedy, Crime            ",6.5,"Patriotic, Comedy, Revenge"
314,Endrendrum Punnagai,"Comedy, Romance            ",6.7,"Mystery, Comedy, Excited, Serious, Action"
315,Mugamoodi,"Action, Adventure            ",4.9,"Mind-blowing, Love, Feel-good, Suspenseful, Dark"
316,NTR Mahanayakudu,"Biography, Drama            ",5.4,"Excited, Fear"
317,PSV Garuda Vega,"Action, Drama            ",7.9,"Fantasy, Motivational, Friendship, Comedy, Love"
318,Kurukshetra,"History, War            ",6.9,"Adventure, Patriotic, Sad, Chill, Hopeful"
319,Uu Kodathara Ulikki Padathara,"Action, Drama, Fantasy            ",4.9,"Revenge, Anger"
320,Mr. Nookayya,"Action, Comedy            ",6.3,"Friendship, Inspirational, Anger, Action"
321,Mirapakai,"Action, Comedy, Drama            ",6.3,"Revenge, Excited, Love"
322,Nenu Meeku Telusa...?,Thriller,6.9,"Feel-good, Suspenseful"
323,Satya 2,"Action, Crime, Drama            ",6,"Revenge, Love, Inspirational, Adventure, Emotional"
324,Pooja,"Action, Drama            ",5,"Fear, Adventure, Anger, Sad, Motivational"
325,Naan Sigappu Manithan,"Action, Drama, Thriller            ",6.5,"Excited, Emotional"
326,Sakthi,"Action, Fantasy            ",3.5,"Fear, Revenge, Feel-good"
327,Uyyala Jampala,"Drama, Family, Romance            ",7.2,"Tragic, Fear, Action"
328,Khadgam,"Action, Crime, Drama            ",7.7,"Emotional, Adventure, Motivational, Mystery"
329,Major Chandrakanth,"Action, Drama, Thriller            ",7.3,"Serious, Mystery"
330,Bachchan,"Action, Crime, Thriller            ",6.6,"Patriotic, Mystery, Sad, Revenge, Inspirational"
331,Manu,"Mystery, Romance, Thriller            ",8,"Action, Romantic, Mind-blowing, Patriotic, Heartwarming"
332,Hyderabad Blues,"Comedy, Drama, Romance            ",7.2,"Family, Thrilling, Comedy"
333,Bunny,"Action, Drama            ",5.7,"Emotional, Hopeful, Thrilling"
334,Ragile Gundelu,Drama,4.4,"Feel-good, Motivational, Mystery, Sad, Suspenseful"
335,Sri Rama Rajyam,"Drama, Fantasy            ",6.7,"Love, Family, Serious"
336,Varudu,"Action, Drama, Thriller            ",3.5,"Heartwarming, Happy, Anger, Fantasy, Sad"
337,Rakshasudu,"Action, Crime, Thriller            ",8.2,"Sad, Family"
338,Gharshana,"Action, Crime, Drama            ",7.3,"Chill, Serious, Emotional, Comedy"
339,Gaganam,"Action, Crime, Thriller            ",7.1,"Suspenseful, Comedy, Motivational, Dark"
340,Amar Akbar Anthony,Action,4.3,"Happy, Serious, Chill, Dark, Fantasy"
341,Kathakali,"Action, Thriller            ",6.5,"Dark, Love, Revenge, Emotional"
342,Krishnarjuna Yudham,"Action, Comedy            ",5.6,"Fear, Mind-blowing, Drama, Emotional, Family"
343,Express Raja,"Action, Comedy, Romance            ",7.1,"Sad, Thrilling, Friendship, Motivational, Inspirational"
344,Kuselan,"Comedy, Drama, Family            ",4.7,"Hopeful, Fantasy, Mystery"
345,Don,"Action, Crime, Drama            ",5.5,"Excited, Love"
346,Kantri,Action,4.9,"Inspirational, Family, Chill, Friendship"
347,Malli Malli Idhi Rani Roju,"Musical, Romance            ",7.5,"Suspenseful, Love, Revenge, Thrilling, Emotional"
348,Raju Bhai,Drama,5.9,"Hopeful, Comedy"
349,Ayogya,"Action, Drama            ",6.1,"Friendship, Serious, Revenge, Happy, Comedy"
350,Gudumba Shankar,"Action, Comedy, Drama            ",5.7,"Comedy, Excited, Fear, Drama, Motivational"
351,Potugadu,"Comedy, Drama            ",5.7,"Heartwarming, Excited, Emotional"
352,Vastadu Naa Raju,"Action, Romance            ",5.8,"Revenge, Friendship, Fantasy"
353,Dubai Seenu,"Action, Comedy            ",6.5,"Suspenseful, Dark, Patriotic, Feel-good, Serious"
354,Dongata,Comedy,6.3,"Dark, Drama"
355,Sahasam,"Action, Adventure            ",6.6,"Drama, Feel-good, Motivational, Happy, Comedy"
356,Dynamite,"Action, Thriller            ",6.6,"Dark, Revenge, Heartwarming, Motivational, Sad"
357,Alex Pandian,Action,2.4,"Love, Serious, Chill, Anger, Tragic"
358,Ragada,"Action, Comedy            ",6.1,"Patriotic, Emotional, Happy, Serious"
359,Run,"Action, Comedy, Drama            ",7,"Motivational, Mystery, Suspenseful"
360,Chalo,"Action, Comedy, Family            ",6.4,"Chill, Inspirational"
361,Munna,Action,5.6,"Heartwarming, Anger"
362,Disco Raja,"Action, Sci-Fi            ",6.4,"Dark, Adventure, Tragic, Sad"
363,Krishna and His Leela,"Comedy, Romance            ",5.3,"Mystery, Emotional, Hopeful"
364,Yeto Vellipoyindhi Manasu,"Drama, Romance            ",7.3,"Inspirational, Motivational, Family"
365,Praana,"Crime, Drama, Horror            ",8.5,"Sad, Friendship"
366,Shankardada Zindabad,Comedy,5.2,"Heartwarming, Drama"
367,Padi Padi Leche Manasu,"Drama, Romance            ",6.4,"Thrilling, Fantasy, Chill, Suspenseful, Motivational"
368,Punya Bhoomi Naa Desam,Action,6.4,"Fantasy, Love, Adventure, Mystery, Family"
369,Quick Gun Murugun: Misadventures of an Indian Cowboy,"Action, Comedy, Drama            ",5.9,"Revenge, Suspenseful, Heartwarming, Sad"
370,Adavilo Anna,"Action, Drama            ",5.5,"Patriotic, Chill, Inspirational, Comedy, Drama"
371,Thamizh Padam,Comedy,7.3,"Family, Excited"
372,Ek Niranjan,Action,5.2,"Romantic, Feel-good, Revenge"
373,Annavaram,"Action, Drama            ",4.8,"Thrilling, Mind-blowing, Fear"
374,Bindaas,"Action, Drama, Family            ",6.8,"Mind-blowing, Inspirational, Comedy, Sad"
375,Prema Katha Chitram,"Drama, Horror            ",7.1,"Mystery, Sad, Thrilling, Comedy"
376,Jagadeka Veerudu Athiloka Sundari,"Action, Comedy, Family            ",8,"Comedy, Suspenseful, Chill, Thrilling, Dark"
377,Vismayam,Drama,7.7,"Anger, Sad, Romantic"
378,Missamma,"Comedy, Drama, Family            ",8.5,"Family, Action, Motivational"
379,Gaddalakonda Ganesh,"Action, Thriller            ",6.6,"Fantasy, Mind-blowing"
380,Oka Laila Kosam,"Comedy, Romance            ",6.1,"Family, Serious, Happy, Mystery"
381,Venky Mama,"Action, Comedy, Drama            ",5.5,"Mind-blowing, Action, Hopeful, Inspirational"
382,Kick 2,"Action, Comedy, Romance            ",5.1,"Revenge, Tragic"
383,Gayatri,"Drama, Family            ",6.5,"Family, Dark, Romantic, Friendship"
384,180,"Drama, Romance            ",6,"Sad, Friendship"
385,Shourya,"Romance, Thriller            ",6.9,"Mystery, Emotional, Thrilling, Revenge"
386,Ashta Chamma,Comedy,7.3,"Suspenseful, Happy"
387,Sigappu Rojakkal,"Drama, Thriller            ",7.8,"Mystery, Drama"
388,LIE,"Action, Thriller            ",5.9,"Romantic, Happy, Dark, Fantasy"
389,Power,Action,5.8,"Friendship, Sad, Family, Revenge, Excited"
390,Dev,"Action, Adventure, Romance            ",4.8,"Revenge, Friendship, Dark, Love, Emotional"
391,Pataas,"Action, Comedy            ",6.7,"Fear, Comedy, Romantic, Anger, Heartwarming"
392,Okkadu Migiladu,Action,7.2,"Chill, Serious"
393,Majnu,"Comedy, Drama, Romance            ",6.4,"Sad, Fear"
394,Srinivasa Kalyanam,"Drama, Family            ",6,"Tragic, Anger, Drama"
395,Luck Unnodu,Comedy,5.6,"Hopeful, Dark, Mind-blowing, Serious"
396,Amma Nanna O Tamila Ammayi,"Action, Drama, Sport            ",7.3,"Action, Suspenseful, Revenge, Heartwarming"
397,Jayasurya,"Action, Thriller            ",6,"Drama, Heartwarming, Sad"
398,Bangaram,"Action, Drama            ",4.7,"Excited, Patriotic"
399,Dora,"Action, Horror, Thriller            ",5.3,"Drama, Chill, Mystery, Sad, Emotional"
400,Don Seenu,"Action, Comedy            ",6,"Heartwarming, Revenge, Fear"
401,Vunnadhi Okate Zindagi,Drama,6.4,"Chill, Family, Romantic"
402,Krishnam Vande Jagadgurum,Action,6.9,"Patriotic, Drama, Sad, Comedy"
403,Killing Veerappan,"Action, Biography, Crime            ",7.3,"Adventure, Dark, Heartwarming, Action, Mind-blowing"
404,Gunturodu,"Action, Comedy            ",6.4,"Heartwarming, Comedy, Motivational, Sad, Anger"
405,Mr. Majnu,Romance,6.1,"Adventure, Family"
406,Not Today,Drama,5.7,"Heartwarming, Hopeful, Suspenseful, Chill, Dark"
407,Oy!,Romance,6.7,"Happy, Mind-blowing"
408,Nuvve.. Nuvve...,"Drama, Romance            ",7.4,"Love, Inspirational"
409,Loukyam,"Action, Comedy            ",6.4,"Friendship, Tragic, Inspirational, Mystery, Suspenseful"
410,Swathi Muthyam,"Drama, Family, Romance            ",8.3,"Revenge, Adventure, Serious, Fear, Chill"
411,Life Is Beautiful,"Drama, Romance            ",6.4,"Thrilling, Comedy, Adventure, Inspirational, Friendship"
412,Yuvaraju,Romance,5.7,"Revenge, Emotional, Romantic"
413,Chal Mohan Ranga,Romance,5.8,"Serious, Fear"
414,Vamsee,Action,4.8,"Fear, Emotional"
415,Endukante... Premanta,"Comedy, Fantasy, Romance            ",6.1,"Mystery, Anger, Chill, Tragic"
416,Veyyil,Drama,7.7,"Suspenseful, Fantasy, Mind-blowing, Patriotic"
417,Mallesham,Biography,8.5,"Chill, Revenge, Happy, Adventure, Dark"
418,Attack,"Action, Crime, Thriller            ",6.1,"Love, Dark, Chill"
419,Mosagallaku Mosagadu,"Action, Comedy, Crime            ",6.2,"Revenge, Anger, Feel-good"
420,Kandireega,"Action, Comedy, Romance            ",6.2,"Love, Motivational"
421,Raju Gari Gadhi 2,"Comedy, Horror, Thriller            ",5.3,"Fantasy, Family, Tragic"
422,Superstar Kidnap,Thriller,6.8,"Inspirational, Suspenseful, Serious, Tragic, Fantasy"
423,Pournami,"Action, Drama, Mystery            ",5.8,"Love, Action, Adventure, Friendship, Drama"
424,Ninne Pelladatha,"Romance, Comedy, Drama            ",7.6,"Mystery, Drama, Thrilling, Romantic, Heartwarming"
425,Shailaja Reddy Alludu,"Action, Comedy, Drama            ",5.1,"Tragic, Motivational"
426,Jamba Lakidi Pamba,"Comedy, Fantasy            ",6.6,"Romantic, Excited, Patriotic, Family"
427,Jaya Janaki Nayaka,"Action, Romance            ",5.1,"Adventure, Heartwarming, Dark, Fear"
428,Akkada Ammayi Ikkada Abbayi,"Action, Romance            ",5.2,"Feel-good, Serious, Action, Friendship, Love"
429,Pichhodu,Drama,9.5,"Thrilling, Sad, Dark, Motivational, Adventure"
430,Bobby,"Drama, Romance            ",3.7,"Romantic, Serious, Dark, Drama"
431,Okka Kshanam,"Action, Romance, Thriller            ",7,"Revenge, Romantic, Fear"
432,Achari America Yathra,"Comedy, Family            ",5.8,"Mind-blowing, Patriotic, Fear, Heartwarming, Tragic"
433,Sathyaa,"Action, Crime, Drama            ",7.8,"Love, Chill, Dark, Fantasy, Patriotic"
434,Bengal Tiger,"Action, Comedy            ",5.1,"Serious, Sad, Romantic"
435,Ashok,Action,5.7,"Revenge, Happy"
436,Coolie No. 1,"Action, Drama, Romance            ",6.5,"Feel-good, Dark, Patriotic, Tragic"
437,Pathala Bhairavi,"Action, Adventure, Family            ",8.5,"Thrilling, Sad, Heartwarming, Motivational"
438,Goutham Nanda,"Action, Drama            ",6.4,"Anger, Hopeful"
439,Gang Leader,"Action, Drama            ",7.8,"Hopeful, Patriotic, Dark, Action"
440,Golmaal,Comedy,7,"Feel-good, Friendship"
441,Mahanubhavudu,"Comedy, Drama, Romance            ",6.4,"Motivational, Heartwarming"
442,118,"Action, Thriller            ",6.6,"Mind-blowing, Hopeful, Tragic, Family"
443,Heart Attack,"Action, Romance            ",5.3,"Anger, Serious"
444,Dictator,"Action, Drama            ",4.2,"Hopeful, Feel-good, Heartwarming"
445,Idiot,"Action, Comedy, Romance            ",7.1,"Romantic, Comedy, Adventure, Patriotic, Hopeful"
446,Neninthe,"Action, Drama            ",6.8,"Action, Dark, Tragic"
447,Rarandoi Veduka Chudham,"Action, Romance            ",5.6,"Revenge, Heartwarming, Dark, Happy, Comedy"
448,Aswathama,"Action, Thriller            ",6.4,"Happy, Serious"
449,Yamajaathakudu,"Action, Comedy, Fantasy            ",4.9,"Fantasy, Serious, Happy, Suspenseful, Adventure"
450,Jaanu,"Drama, Romance            ",7,"Fear, Action, Love"
451,Neevevaro,"Action, Romance, Thriller            ",6.9,"Tragic, Mind-blowing, Suspenseful, Feel-good"
452,Power Unlimited 2,Action,4.8,"Happy, Excited, Heartwarming, Fantasy, Action"
453,Guru,"Action, Drama, Sport            ",7.9,"Action, Comedy, Heartwarming, Drama"
454,Kee,"Action, Thriller            ",5.1,"Love, Excited, Friendship, Chill"
455,Jagadam,Action,6.8,"Dark, Mind-blowing, Thrilling, Fear, Adventure"
456,Daruvu,"Action, Comedy, Fantasy            ",5,"Fear, Inspirational, Patriotic, Motivational"
457,Damarukam,"Action, Drama, Fantasy            ",5.3,"Inspirational, Serious, Revenge"
458,Super,"Action, Comedy            ",5.1,"Friendship, Fantasy, Chill, Excited"
459,Krishna: The Power of Indrakeeladri,"Action, Comedy, Drama            ",6.3,"Mystery, Sad, Comedy, Heartwarming"
460,Chakram,Drama,6,"Anger, Emotional, Patriotic"
461,Size Zero,"Comedy, Romance            ",5.4,"Thrilling, Mind-blowing, Serious, Sad, Friendship"
462,Bhadra,Action,6.7,"Romantic, Suspenseful, Family"
463,Erra Buss,"Comedy, Drama            ",6.2,"Feel-good, Fear, Revenge, Excited"
464,Lakshmi's NTR,Drama,6.9,"Inspirational, Anger, Action, Tragic"
465,Dhoni,"Drama, Family            ",6.7,"Love, Feel-good, Excited, Friendship"
466,Appatlo Okadundevadu,Drama,7.8,"Revenge, Family, Action, Patriotic"
467,Akhil,"Action, Fantasy            ",3.7,"Drama, Chill, Hopeful"
468,Daana Veera Soora Karna,"Action, Drama, Fantasy            ",8.8,"Feel-good, Sad"
469,Aadhi Bhagavan,Action,5.3,"Anger, Mind-blowing, Happy"
470,Devudu Chesina Manushulu,"Action, Comedy, Fantasy            ",3.6,"Romantic, Motivational"
471,Falaknuma Das,"Action, Thriller            ",6.3,"Sad, Feel-good, Revenge, Anger"
472,Raju Maharaju,Family,6.2,"Mystery, Mind-blowing"
473,Adhipathi,"Action, Drama            ",5.5,"Drama, Fear, Love, Emotional, Feel-good"
474,Peda Rayudu,"Action, Drama            ",7.2,"Adventure, Sad"
475,Nela Ticket,"Action, Drama            ",4.5,"Hopeful, Happy"
476,Prati Roju Pandaage,"Drama, Family            ",6.2,"Mind-blowing, Serious, Mystery"
477,Veera,"Comedy, Romance            ",6.6,"Action, Mystery, Anger, Dark"
478,Kotha Bangaru Lokam,Romance,6.8,"Hopeful, Thrilling, Suspenseful"
479,Santosham,"Drama, Romance            ",7.1,"Motivational, Friendship, Sad, Heartwarming"
480,Venky,"Action, Mystery            ",7.3,"Mystery, Feel-good"
481,Jai Simha,"Action, Drama            ",4.7,"Patriotic, Excited"
482,Nuvve Kavali,Romance,7.5,"Mind-blowing, Excited, Chill"
483,Samba,Action,4.9,"Fantasy, Love, Mind-blowing, Sad, Fear"
484,Lava Kusa,"Drama, Family, Musical            ",8.1,"Adventure, Mystery"
485,George Reddy,Action,7.2,"Revenge, Excited, Serious, Heartwarming"
486,Subramanyam for Sale,Comedy,6,"Mystery, Action"
487,Bhoot Returns,"Horror, Mystery, Thriller            ",2.5,"Adventure, Feel-good"
488,Suswagatham,"Drama, Romance            ",7.1,"Happy, Thrilling, Mind-blowing, Suspenseful, Family"
489,Dohchay,Action,5.9,"Heartwarming, Tragic, Excited, Patriotic"
490,Andala Rakshasi,Romance,7.2,"Excited, Chill, Family, Drama, Patriotic"
491,Raja,Family,7.5,"Action, Tragic"
492,Sambo Siva Sambho,"Action, Drama            ",6.8,"Fear, Motivational, Emotional, Romantic, Chill"
493,Okkadunnadu,"Action, Thriller            ",7.3,"Emotional, Anger, Happy, Suspenseful"
494,Manmadhudu 2,"Comedy, Drama, Romance            ",4.8,"Patriotic, Suspenseful, Mind-blowing, Action"
495,Paisa Vasool,"Action, Comedy            ",4.4,"Heartwarming, Love, Family, Sad, Drama"
496,Lakshmi,Drama,6.9,"Thrilling, Happy"
497,Chantabbai,"Comedy, Mystery            ",8.1,"Action, Thrilling"
498,Anji,"Action, Adventure, Drama            ",5.8,"Chill, Friendship, Thrilling, Inspirational, Hopeful"
499,Dhada,"Action, Comedy            ",3.7,"Romantic, Mystery, Drama"
500,Uthama Puthiran,"Comedy, Romance            ",5.6,"Chill, Emotional, Happy, Fantasy, Romantic"
501,Jai Chiranjeeva,"Action, Comedy, Drama            ",5.8,"Heartwarming, Mind-blowing, Sad"
502,Magalir Mattum,"Comedy, Drama, Thriller            ",7.3,"Happy, Suspenseful, Adventure"
503,Anaganaga O Dheerudu,"Action, Adventure, Family            ",5.1,"Dark, Family, Comedy"
504,Supreme Khiladi,"Action, Comedy            ",6.1,"Fantasy, Feel-good, Serious, Dark"
505,Aakali Rajyam,Drama,8.1,"Suspenseful, Comedy, Mystery"
506,Okka Magadu,"Action, Comedy, Drama            ",2.1,"Hopeful, Motivational, Fear, Serious, Inspirational"
507,Phoonk 2,"Drama, Horror, Mystery            ",3.1,"Tragic, Sad, Heartwarming, Thrilling, Comedy"
508,Tappu Chesi Pappu Koodu,Comedy,5.4,"Romantic, Love, Revenge"
509,Bhairava Dweepam,"Action, Adventure, Comedy            ",7.8,"Tragic, Suspenseful"
510,Needi Naadi Oke Katha,Drama,7.8,"Heartwarming, Happy, Friendship, Fear"
511,Narasimha Naidu,"Action, Drama            ",7,"Romantic, Action, Hopeful, Mind-blowing"
512,Guru,"Action, Crime, Drama            ",6.5,"Comedy, Revenge"
513,Chintakayala Ravi,"Comedy, Drama, Romance            ",5.5,"Anger, Love, Adventure, Friendship"
514,Yogi,"Action, Drama            ",4.5,"Anger, Action"
515,Yaman,"Action, Drama, Thriller            ",6.2,"Fear, Patriotic"
516,Anando Brahma,"Comedy, Horror            ",6.7,"Action, Dark"
517,Vanaja,Drama,7.1,"Feel-good, Heartwarming"
518,Raja Vaaru Rani Gaaru,Romance,7.6,"Sad, Hopeful, Adventure"
519,Gangotri,"Action, Drama, Romance            ",4.6,"Love, Patriotic"
520,Golimar,Action,5.9,"Sad, Suspenseful, Mind-blowing, Adventure, Hopeful"
521,Narasimhudu,"Action, Drama            ",2.9,"Action, Mind-blowing, Dark, Patriotic, Comedy"
522,Swayam Krushi,Drama,8.3,"Mind-blowing, Adventure"
523,Mental Madhilo,"Comedy, Drama, Romance            ",7.4,"Family, Thrilling, Comedy"
524,Gaayam,"Action, Drama            ",7.3,"Mystery, Emotional, Serious, Chill, Adventure"
525,Rayalaseema Ramanna Chowdary,"Action, Drama            ",6.3,"Mind-blowing, Mystery, Dark, Family, Fantasy"
526,Gokulamlo Seetha,"Drama, Romance            ",5.6,"Hopeful, Love, Dark"
527,Rajanna,"Action, Drama, History            ",6.5,"Family, Suspenseful"
528,Madha,"Mystery, Thriller            ",5.3,"Emotional, Comedy"
529,Hushaaru,Comedy,6.9,"Family, Sad"
530,Settai,"Action, Comedy, Crime            ",4.4,"Tragic, Suspenseful"
531,Swarnakamalam,"Drama, Musical, Romance            ",8,"Love, Serious"
532,Tadakha,Action,5.5,"Inspirational, Sad, Patriotic, Hopeful, Thrilling"
533,Nenu Naa Rakshasi,"Action, Drama            ",5,"Adventure, Family"
534,Diya,"Drama, Horror, Thriller            ",5.7,"Comedy, Chill, Adventure, Hopeful, Serious"
535,Vikram,"Action, Adventure, Sci-Fi            ",7.2,"Emotional, Fantasy, Patriotic"
536,Kadhal Desam,"Comedy, Drama, Romance            ",6.8,"Comedy, Romantic, Chill"
537,Mudra,"Action, Thriller            ",7,"Hopeful, Mind-blowing, Drama, Serious, Fantasy"
538,Naa Autograph Sweet Memories,"Drama, Romance            ",7.3,"Thrilling, Chill, Tragic"
539,Dum Dum Dum,"Comedy, Romance            ",7,"Suspenseful, Heartwarming, Emotional"
540,Challenge,Drama,7.8,"Chill, Patriotic, Thrilling, Anger"
541,Kalisundam Raa,Drama,7.3,"Motivational, Tragic, Love, Anger"
542,Pandaga Chesko,"Action, Drama, Family            ",5.4,"Heartwarming, Emotional, Friendship"
543,Lakshmi,"Action, Drama            ",5.8,"Thrilling, Action, Fantasy"
544,Daddy,Drama,6.5,"Serious, Anger, Sad, Fantasy, Action"
545,Seetha,Romance,4.7,"Happy, Comedy, Motivational, Fantasy"
546,Kalki,"Action, Thriller            ",7,"Mystery, Heartwarming"
547,Parama Veera Chakra,"Action, Drama            ",2,"Romantic, Chill"
548,Samarasimha Reddy,"Action, Drama            ",7.1,"Sad, Family"
549,Andhrawala,"Action, Drama            ",3.5,"Patriotic, Fantasy"
550,Hyper,"Action, Drama            ",5.7,"Mystery, Fear, Comedy, Happy"
551,Kalloori,Drama,7.3,"Emotional, Revenge, Happy, Heartwarming"
552,Veera,"Action, Comedy, Drama            ",3.8,"Love, Mystery, Heartwarming, Family, Drama"
553,Criminal,"Action, Romance, Thriller            ",5.7,"Love, Anger, Excited"
554,Gharana Mogudu,"Action, Comedy, Drama            ",7.3,"Sad, Motivational, Drama, Family, Mystery"
555,Namo Venkatesa,"Action, Crime, Romance            ",5.4,"Sad, Excited, Suspenseful, Fantasy, Revenge"
556,Karnan,"Action, Drama, History            ",8,"Revenge, Excited, Fantasy, Motivational"
557,Annayya,"Comedy, Drama, Family            ",6.6,"Family, Excited, Dark, Inspirational, Revenge"
558,Mesthri,Drama,4.6,"Love, Fear, Romantic, Chill, Happy"
559,Little Soldiers,"Family, Musical, Comedy            ",7.9,"Motivational, Thrilling, Mystery, Anger"
560,Alludu Seenu,"Action, Comedy            ",4.3,"Sad, Patriotic, Love, Friendship, Drama"
561,Yuddham Sharanam,"Action, Thriller            ",6,"Serious, Feel-good, Family, Motivational, Mystery"
562,Khaidi,"Action, Drama            ",7.4,"Excited, Anger"
563,Shiva Shankar,"Drama, Family            ",4.4,"Revenge, Adventure, Friendship, Patriotic, Inspirational"
564,Bavagaru Bagunnara?,"Comedy, Drama, Romance            ",7.1,"Romantic, Excited, Anger, Serious"
565,Nannu Dochukunduvate,Romance,6.9,"Feel-good, Inspirational"
566,Hello Brother,"Action, Comedy, Drama            ",7.4,"Friendship, Chill"
567,Naa Alludu,Romance,3.4,"Anger, Drama, Motivational"
568,Shamantakamani,Drama,6.9,"Excited, Sad, Feel-good, Family"
569,Thulasi,Action,5.4,"Fear, Family, Suspenseful, Romantic, Serious"
570,Keshava,"Action, Drama, Thriller            ",6.3,"Fantasy, Serious"
571,Maja,"Action, Comedy, Romance            ",5.1,"Dark, Friendship"
572,Aata,"Comedy, Drama, Romance            ",4.7,"Adventure, Feel-good, Mind-blowing"
573,Choodalani Vundi,"Action, Drama, Romance            ",7.1,"Tragic, Happy"
574,Ranarangam,"Action, Drama            ",5.9,"Mind-blowing, Mystery, Emotional, Tragic"
575,Mukunda,Family,5.7,"Chill, Love, Comedy, Happy, Hopeful"
576,Allari Police,"Action, Comedy            ",5.1,"Patriotic, Emotional, Sad"
577,Kirrak Party,Comedy,5.7,"Family, Inspirational, Friendship"
578,Chenna Kesava Reddy,"Action, Drama            ",6,"Thrilling, Chill, Revenge, Tragic, Mind-blowing"
579,Sarocharu,"Drama, Romance            ",4.7,"Comedy, Adventure, Motivational, Romantic, Emotional"
580,Nadunisi Naaygal,"Mystery, Thriller            ",4.6,"Anger, Patriotic, Inspirational, Mind-blowing, Feel-good"
581,Nagavalli,"Action, Fantasy, Thriller            ",4.4,"Romantic, Patriotic, Chill"
582,Ennaku 20 Unakku 18,"Drama, Musical, Romance            ",5.3,"Patriotic, Fantasy, Anger, Serious, Thrilling"
583,Bodyguard,"Action, Comedy            ",5.1,"Anger, Fantasy, Family"
584,Raju Gari Gadhi 3,"Comedy, Horror, Thriller            ",6.7,"Excited, Friendship, Inspirational, Serious, Fear"
585,Josh,"Action, Family            ",6.2,"Motivational, Tragic, Hopeful"
586,Greeku Veerudu,Drama,4.6,"Inspirational, Revenge, Chill, Dark, Fantasy"
587,Lakshmi Narasimha,"Action, Drama            ",6.5,"Serious, Love, Drama, Hopeful, Anger"
588,Autonagar Surya,"Action, Crime, Drama            ",5.6,"Action, Comedy, Hopeful, Dark, Emotional"
589,Style,Musical,6,"Love, Mind-blowing, Motivational, Inspirational, Dark"
590,Shivamani,"Action, Romance            ",6.3,"Love, Family, Inspirational"
591,Surya vs. Surya,Drama,6.8,"Mystery, Revenge, Mind-blowing"
592,Swathi Kiranam,"Drama, Musical            ",8.1,"Anger, Inspirational, Emotional"
593,Alluda Majaaka!,"Action, Comedy, Drama            ",6.3,"Inspirational, Romantic, Motivational"
594,Kavacham,"Action, Thriller            ",5.5,"Feel-good, Action, Patriotic, Inspirational"
595,Chinnadana Nee Kosam,"Drama, Romance            ",5.3,"Family, Fear, Thrilling, Anger"
596,Hrudaya Kaleyam,Comedy,5.7,"Heartwarming, Mystery, Love"
597,Mama Manchu Alludu Kanchu,"Action, Comedy            ",6.1,"Excited, Motivational, Happy, Mind-blowing, Fear"
598,Prathinidhi,"Drama, Thriller            ",7.4,"Heartwarming, Mystery, Hopeful, Chill"
599,Meesrti,Action,3.6,"Anger, Suspenseful"
600,Khatarnak,"Action, Comedy            ",3.6,"Tragic, Emotional"
601,Ritu,"Drama, Family            ",7.1,"Happy, Feel-good, Motivational, Heartwarming"
602,Sri Ramadasu,"Biography, Musical            ",7,"Tragic, Family"
603,Jawaan,"Action, Thriller            ",4.7,"Adventure, Fear, Emotional, Romantic"
604,Maalai Nerathu Mayakkam,"Drama, Romance            ",6.4,"Fantasy, Mystery, Chill, Patriotic, Excited"
605,Janaki Ramudu,"Drama, Romance            ",5.5,"Romantic, Revenge, Heartwarming, Mystery"
606,Koduku Diddina Kapuram,Drama,6.6,"Suspenseful, Dark, Happy, Family, Action"
607,Subedar Joginder Singh,"Action, Biography, Drama            ",7.1,"Excited, Fantasy"
608,Anasuya,"Crime, Mystery, Thriller            ",7.3,"Thrilling, Family, Tragic, Hopeful, Feel-good"
609,Postman,Action,3.6,"Hopeful, Dark"
610,Seven,Thriller,5.2,"Inspirational, Revenge"
611,Jil,Action,5.7,"Patriotic, Love, Tragic, Hopeful, Revenge"
612,Solo,Drama,6.7,"Emotional, Friendship, Thrilling, Patriotic"
613,Andarivaadu,"Action, Comedy, Drama            ",4.4,"Fear, Emotional"
614,Anthahpuram,"Action, Drama            ",7.6,"Drama, Friendship, Tragic, Motivational, Action"
615,Samrat Ashok,"Action, Drama, History            ",6.2,"Suspenseful, Feel-good, Mystery, Comedy"
616,Aapathbandavudu,"Drama, Musical            ",7.6,"Hopeful, Happy, Emotional"
617,Aaha Kalyanam,"Comedy, Romance            ",6,"Drama, Comedy, Friendship"
618,Allari Pidugu,"Action, Drama, Romance            ",2.7,"Adventure, Serious"
619,Officer,"Action, Crime            ",3.4,"Suspenseful, Feel-good, Dark, Serious, Chill"
620,Paisa,"Action, Drama            ",6.1,"Revenge, Mind-blowing"
621,Yaan,"Action, Thriller            ",3.5,"Hopeful, Happy, Dark, Inspirational, Feel-good"
622,Alluri Seetharama Raju,"Action, Biography, Drama            ",7.5,"Thrilling, Emotional, Patriotic"
623,Adavi Donga,"Action, Comedy, Family            ",6.6,"Feel-good, Fantasy"
624,Madhuram,"Drama, Fantasy, Romance            ",8.3,"Adventure, Comedy, Dark"
625,Vasu,"Drama, Romance            ",6.9,"Family, Emotional, Fear, Drama, Patriotic"
626,Shiva,"Action, Crime, Drama            ",4,"Emotional, Anger, Friendship"
